battery_soc,memory_usage,t_s,T_s1,T_s2,T_d1,T_d2
0.5,0.7000000000000001,0,0.4965853037914095,0.6051369134225069,0.30000000000000004,0.1353352832366127
0.5,0.7000000000000001,1,0.8187307530779818,0.6051369134225069,0.30000000000000004,0.36787944117144233
0.5,0.75,0,0.4965853037914095,0.6256659163780024,0.25,0.1353352832366127
0.5,0.75,1,0.8187307530779818,0.6256659163780024,0.25,0.36787944117144233
0.5,0.8,0,0.4965853037914095,0.6443846310212945,0.19999999999999996,0.1353352832366127
0.5,0.8,1,0.8187307530779818,0.6443846310212945,0.19999999999999996,0.36787944117144233
0.5,0.8500000000000001,0,0.4965853037914095,0.6614939453393347,0.15000000000000002,0.1353352832366127
0.5,0.8500000000000001,1,0.8187307530779818,0.6614939453393347,0.15000000000000002,0.36787944117144233
0.5,0.9,0,0.4965853037914095,0.6771710655658095,0.09999999999999998,0.1353352832366127
0.5,0.9,1,0.8187307530779818,0.6771710655658095,0.09999999999999998,0.36787944117144233
0.5,0.9500000000000001,0,0.4965853037914095,0.6915717710993331,0.050000000000000044,0.1353352832366127
0.5,0.9500000000000001,1,0.8187307530779818,0.6915717710993331,0.050000000000000044,0.36787944117144233
0.5,1.0,0,0.4965853037914095,0.7048327646991335,0.0,0.1353352832366127
0.5,1.0,1,0.8187307530779818,0.7048327646991335,0.0,0.36787944117144233
0.52,0.0,0,0.4965853037914095,0.0,1.0,0.1353352832366127
0.52,0.0,1,0.8187307530779818,0.0,1.0,0.36787944117144233
0.52,0.05,0,0.4965853037914095,0.0610258284125271,0.95,0.1353352832366127
0.52,0.05,1,0.8187307530779818,0.0610258284125271,0.95,0.36787944117144233
0.52,0.1,0,0.4965853037914095,0.12095030060731932,0.9,0.1353352832366127
0.52,0.1,1,0.8187307530779818,0.12095030060731932,0.9,0.36787944117144233
0.52,0.15000000000000002,0,0.4965853037914095,0.17878684832057964,0.85,0.1353352832366127
0.52,0.15000000000000002,1,0.8187307530779818,0.17878684832057964,0.85,0.36787944117144233
0.52,0.2,0,0.4965853037914095,0.23375012250468688,0.8,0.1353352832366127
0.52,0.2,1,0.8187307530779818,0.23375012250468688,0.8,0.36787944117144233
0.52,0.25,0,0.4965853037914095,0.28529795202042463,0.75,0.1353352832366127
0.52,0.25,1,0.8187307530779818,0.28529795202042463,0.75,0.36787944117144233
0.52,0.30000000000000004,0,0.4965853037914095,0.33312932632054815,0.7,0.1353352832366127
0.52,0.30000000000000004,1,0.8187307530779818,0.33312932632054815,0.7,0.36787944117144233
0.52,0.35000000000000003,0,0.4965853037914095,0.3771509668861312,0.65,0.1353352832366127
0.52,0.35000000000000003,1,0.8187307530779818,0.3771509668861312,0.65,0.36787944117144233
0.52,0.4,0,0.4965853037914095,0.4174288003203055,0.6,0.1353352832366127
0.52,0.4,1,0.8187307530779818,0.4174288003203055,0.6,0.36787944117144233
0.52,0.45,0,0.4965853037914095,0.454137869972092,0.55,0.1353352832366127
0.52,0.45,1,0.8187307530779818,0.454137869972092,0.55,0.36787944117144233
0.52,0.5,0,0.4965853037914095,0.48751885873249523,0.5,0.1353352832366127
0.52,0.5,1,0.8187307530779818,0.48751885873249523,0.5,0.36787944117144233
0.52,0.55,0,0.4965853037914095,0.5178444776586917,0.44999999999999996,0.1353352832366127
0.52,0.55,1,0.8187307530779818,0.5178444776586917,0.44999999999999996,0.36787944117144233
0.52,0.6000000000000001,0,0.4965853037914095,0.5453957419997209,0.4,0.1353352832366127
0.52,0.6000000000000001,1,0.8187307530779818,0.5453957419997209,0.4,0.36787944117144233
0.52,0.65,0,0.4965853037914095,0.5704465749545545,0.35,0.1353352832366127
0.52,0.65,1,0.8187307530779818,0.5704465749545545,0.35,0.36787944117144233
0.52,0.7000000000000001,0,0.4965853037914095,0.5932547243043611,0.30000000000000004,0.1353352832366127
0.52,0.7000000000000001,1,0.8187307530779818,0.5932547243043611,0.30000000000000004,0.36787944117144233
0.52,0.75,0,0.4965853037914095,0.6140571162245969,0.25,0.1353352832366127
0.52,0.75,1,0.8187307530779818,0.6140571162245969,0.25,0.36787944117144233
0.52,0.8,0,0.4965853037914095,0.6330681382689262,0.19999999999999996,0.1353352832366127
0.52,0.8,1,0.8187307530779818,0.6330681382689262,0.19999999999999996,0.36787944117144233
0.52,0.8500000000000001,0,0.4965853037914095,0.6504797404716084,0.15000000000000002,0.1353352832366127
0.52,0.8500000000000001,1,0.8187307530779818,0.6504797404716084,0.15000000000000002,0.36787944117144233
0.52,0.9,0,0.4965853037914095,0.666462584137677,0.09999999999999998,0.1353352832366127
0.52,0.9,1,0.8187307530779818,0.666462584137677,0.09999999999999998,0.36787944117144233
0.52,0.9500000000000001,0,0.4965853037914095,0.6811677291184062,0.050000000000000044,0.1353352832366127
0.52,0.9500000000000001,1,0.8187307530779818,0.6811677291184062,0.050000000000000044,0.36787944117144233
0.52,1.0,0,0.4965853037914095,0.6947285374858096,0.0,0.1353352832366127
0.52,1.0,1,0.8187307530779818,0.6947285374858096,0.0,0.36787944117144233
0.54,0.0,0,0.4965853037914095,0.0,1.0,0.1353352832366127
0.54,0.0,1,0.8187307530779818,0.0,1.0,0.36787944117144233
0.54,0.05,0,0.4965853037914095,0.058778680059680774,0.95,0.1353352832366127
0.54,0.05,1,0.8187307530779818,0.058778680059680774,0.95,0.36787944117144233
0.54,0.1,0,0.4965853037914095,0.11657196680368444,0.9,0.1353352832366127
0.54,0.1,1,0.8187307530779818,0.11657196680368444,0.9,0.36787944117144233
0.54,0.15000000000000002,0,0.4965853037914095,0.1724901221861584,0.85,0.1353352832366127
0.54,0.15000000000000002,1,0.8187307530779818,0.1724901221861584,0.85,0.36787944117144233
0.54,0.2,0,0.4965853037914095,0.22581263144069935,0.8,0.1353352832366127
0.54,0.2,1,0.8187307530779818,0.22581263144069935,0.8,0.36787944117144233
0.54,0.25,0,0.4965853037914095,0.27602654561616874,0.75,0.1353352832366127
0.54,0.25,1,0.8187307530779818,0.27602654561616874,0.75,0.36787944117144233
0.54,0.30000000000000004,0,0.4965853037914095,0.32282893443419053,0.7,0.1353352832366127
0.54,0.30000000000000004,1,0.8187307530779818,0.32282893443419053,0.7,0.36787944117144233
0.54,0.35000000000000003,0,0.4965853037914095,0.36610239018433827,0.65,0.1353352832366127
0.54,0.35000000000000003,1,0.8187307530779818,0.36610239018433827,0.65,0.36787944117144233
0.54,0.4,0,0.4965853037914095,0.4058761707442796,0.6,0.1353352832366127
0.54,0.4,1,0.8187307530779818,0.4058761707442796,0.6,0.36787944117144233
0.54,0.45,0,0.4965853037914095,0.442284123247391,0.55,0.1353352832366127
0.54,0.45,1,0.8187307530779818,0.442284123247391,0.55,0.36787944117144233
0.54,0.5,0,0.4965853037914095,0.47552668709149104,0.5,0.1353352832366127
0.54,0.5,1,0.8187307530779818,0.47552668709149104,0.5,0.36787944117144233
0.54,0.55,0,0.4965853037914095,0.5058403845161958,0.44999999999999996,0.1353352832366127
0.54,0.55,1,0.8187307530779818,0.5058403845161958,0.44999999999999996,0.36787944117144233
0.54,0.6000000000000001,0,0.4965853037914095,0.5334754167131481,0.4,0.1353352832366127
0.54,0.6000000000000001,1,0.8187307530779818,0.5334754167131481,0.4,0.36787944117144233
